time/total_timesteps,train/explained_variance,train/learning_rate,time/fps,train/n_updates,train/entropy_loss,train/value_loss,time/time_elapsed,time/iterations,train/policy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
18500,-45.35541534423828,0.0007,775,3699,-0.7212872505187988,1.2465061161037738e-07,23,3700,-0.0001747751812217757,2500.0,-0.5427995714285715
19000,-1.2120776176452637,0.0007,776,3799,-0.6983433365821838,1.8360560716246255e-07,24,3800,-6.401401333278045e-05,2500.0,-0.5427995714285715
19500,-0.04712808132171631,0.0007,779,3899,-0.6882783770561218,0.0007705203606747091,25,3900,-0.0369606539607048,2500.0,-0.5427995714285715
20000,-23.965457916259766,0.0007,780,3999,-0.5863817930221558,1.117365755476385e-07,25,4000,4.8719179176259786e-05,2500.0,-0.476800375
20500,-78484.2109375,0.0007,785,4099,-0.5862508416175842,2.0595794580913207e-07,26,4100,0.00023105833679437637,2500.0,-0.476800375
21000,-1.3738832473754883,0.0007,788,4199,-0.5382359623908997,1.3697899703402072e-08,26,4200,3.629612308486685e-07,2500.0,-0.476800375
21500,-67.82575988769531,0.0007,788,4299,-0.5488182306289673,2.722827048273757e-07,27,4300,-5.217793659539893e-05,2500.0,-0.476800375
22000,-0.0655139684677124,0.0007,785,4399,-0.46483248472213745,2.6093545102412463e-07,28,4400,8.342524233739823e-05,2500.0,-0.476800375
22500,-58.63356018066406,0.0007,784,4499,-0.4111827313899994,1.6047675410746365e-09,28,4500,4.09484619012801e-06,2500.0,-0.42707966666666664
23000,-1.2694008350372314,0.0007,785,4599,-0.41498932242393494,1.2117515879594976e-09,29,4600,-1.1247480870224535e-05,2500.0,-0.42707966666666664
23500,-1.36737060546875,0.0007,786,4699,-0.5348536968231201,1.682948358450176e-08,29,4700,9.153234714176506e-05,2500.0,-0.42707966666666664
24000,-25.01718521118164,0.0007,785,4799,-0.5400573015213013,4.26551377552542e-10,30,4800,1.3595102245744783e-05,2500.0,-0.42707966666666664
24500,0.3044280409812927,0.0007,788,4899,-0.4911472201347351,1.780296514652946e-07,31,4900,-7.74149302742444e-05,2500.0,-0.42707966666666664
25000,-619.396240234375,0.0007,787,4999,-0.5407678484916687,1.1852386627708711e-08,31,5000,3.4649408917175606e-05,2500.0,-0.38770479999999996
25500,-201.5875244140625,0.0007,788,5099,-0.5282367467880249,1.7726883849711328e-10,32,5100,-4.027462182421004e-06,2500.0,-0.38770479999999996
26000,-35.55631637573242,0.0007,788,5199,-0.5632597804069519,2.7868389818053174e-09,32,5200,1.0988106623699423e-05,2500.0,-0.38770479999999996
26500,-1.1552467346191406,0.0007,791,5299,-0.5043948888778687,6.99212350241396e-08,33,5300,-0.00013337581185624003,2500.0,-0.38770479999999996
27000,-378.4844665527344,0.0007,792,5399,-0.5094348192214966,2.015802247345988e-10,34,5400,2.4341065909538884e-06,2500.0,-0.38770479999999996
27500,-1.5091004371643066,0.0007,792,5499,-0.5786330103874207,3.1078477569224106e-09,34,5500,-1.3641122677654494e-05,2500.0,-0.3526642727272727
28000,-99.1635513305664,0.0007,793,5599,-0.5881296396255493,1.8354434638823136e-09,35,5600,-5.523834261111915e-07,2500.0,-0.3526642727272727
28500,-0.2174990177154541,0.0007,795,5699,-0.6247416734695435,4.76004657912199e-09,35,5700,-1.9903101929230615e-05,2500.0,-0.3526642727272727
29000,0.026290595531463623,0.0007,796,5799,-0.6624917984008789,5.318344165061717e-08,36,5800,-0.0001359098678221926,2500.0,-0.3526642727272727
29500,-2.018404960632324,0.0007,799,5899,-0.6838304400444031,7.070862295677216e-08,36,5900,0.00010892652062466368,2500.0,-0.3526642727272727
30000,-13.251676559448242,0.0007,799,5999,-0.530223548412323,1.4077401999657013e-07,37,6000,0.0003329255268909037,2500.0,-0.32678783333333333
