#{"t_start": 1774948065.9807038, "env_id": "None"}
r,l,t
-0.259041,2500,1.801706
-0.018801,2500,4.616161
0.354288,2500,7.26021
-0.190458,2500,9.98227
-0.500161,2500,12.385006
-0.384526,2500,14.771051
0.202362,2500,17.473414
0.461324,2500,20.49982
-0.077506,2500,23.189734
0.333313,2500,25.815437
-0.665564,2500,28.180542
-0.032999,2500,30.447092
