#{"t_start": 1774951568.5689914, "env_id": "None"}
r,l,t
-202.734102,2500,3.524162
-120.25985,2500,8.466171
-3.156819,2500,12.742658
-436.458429,2500,16.53611
-17.694797,2500,21.406946
225.966058,2500,25.306018
317.651545,2500,29.63238
338.360966,2500,34.23476
-132.928255,2500,38.286487
152.071921,2500,42.143163
-194.966333,2500,46.726762
494.247494,2500,50.14392
