#{"t_start": 1774951569.9001637, "env_id": "None"}
r,l,t
-561.031595,2500,7.609504
-340.361542,2500,13.133953
-552.017366,2500,18.745406
4.836125,2500,23.96865
30.684493,2500,29.611832
-4.135216,2500,34.944376
0.0,2500,40.052141
-18.221968,2500,45.328686
0.0,2500,49.777275
0.0,2500,53.805949
0.0,2500,57.719742
-11.903859,2500,62.301104
