time/total_timesteps,time/iterations,train/explained_variance,train/value_loss,time/fps,train/n_updates,time/time_elapsed,train/policy_loss,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
25500,5100,-0.8246911764144897,4.388675187150248e-11,474,5099,53,-1.5882645243436855e-07,0.0007,-0.129232719540596,2500.0,-144.0247069
26000,5200,-2.219606637954712,2.4657977881759052e-09,477,5199,54,1.4851663081572042e-06,0.0007,-0.14610493183135986,2500.0,-144.0247069
26500,5300,-1.804236650466919,3.164004738209769e-07,479,5299,55,2.2293501388048753e-05,0.0007,-0.1903693825006485,2500.0,-144.0247069
27000,5400,-44.44823455810547,3.40765540784993e-11,482,5399,56,1.6911701550270664e-07,0.0007,-0.15580861270427704,2500.0,-144.0247069
27500,5500,-4.878289699554443,1.610234647841935e-07,483,5499,56,-9.567750566930044e-06,0.0007,-0.11898341029882431,2500.0,-130.93155172727273
28000,5600,-6.7490315437316895,1.3776866580883507e-07,486,5599,57,3.7365691696322756e-06,0.0007,-0.07060382515192032,2500.0,-130.93155172727273
28500,5700,-1336095.0,1.3121161102080947e-10,488,5699,58,9.263796130198898e-08,0.0007,-0.07025154680013657,2500.0,-130.93155172727273
29000,5800,0.017327964305877686,3.536643634199921e-13,489,5799,59,-6.2726948080182865e-09,0.0007,-0.07039708644151688,2500.0,-130.93155172727273
29500,5900,-1.5425925254821777,9.97243954081739e-13,488,5899,60,6.0434386384145e-09,0.0007,-0.07040584087371826,2500.0,-130.93155172727273
30000,6000,-4056.30224609375,2.2334392668632574e-10,488,5999,61,-1.7825163922680076e-07,0.0007,-0.07066790759563446,2500.0,-121.01257733333334
