#{"t_start": 1774947962.622421, "env_id": "None"}
r,l,t
14.141971,2500,3.427392
-117.92941,2500,6.496652
-30.725193,2500,10.104256
-143.996126,2500,12.861395
-116.04424,2500,15.807796
20.275834,2500,19.257244
77.35876,2500,22.454714
132.023484,2500,25.814241
34.88968,2500,29.120618
94.649087,2500,32.12944
-46.402041,2500,35.168065
-8.031452,2500,38.424206
