#{"t_start": 1774948017.5973487, "env_id": "None"}
r,l,t
63.329906,2500,5.338896
3.354653,2500,9.187474
-107.089838,2500,12.977774
-68.555557,2500,16.571568
50.135005,2500,20.806632
10.969587,2500,24.875749
-110.444772,2500,28.57415
78.976111,2500,32.301044
8.285476,2500,35.998494
-109.443914,2500,39.908563
-108.773695,2500,43.976544
-9.763159,2500,47.769108
